cultivar	flowcell_lane	filename	PlateID	readMappingIds
ZeaSynDH-3513.fastq	gbsFlowcell	ZeaSynDH-3513.fastq	gbs	185
ZeaSynDH-2170.fastq	gbsFlowcell	ZeaSynDH-2170.fastq	gbs	186
ZeaSynDH-2511.fastq	gbsFlowcell	ZeaSynDH-2511.fastq	gbs	187
ZeaSynDH-3725.fastq	gbsFlowcell	ZeaSynDH-3725.fastq	gbs	188
ZeaSynDH-2456.fastq	gbsFlowcell	ZeaSynDH-2456.fastq	gbs	189
ZeaSynDH-3073.fastq	gbsFlowcell	ZeaSynDH-3073.fastq	gbs	190
ZeaSynDH-1314.fastq	gbsFlowcell	ZeaSynDH-1314.fastq	gbs	191
ZeaSynDH-2243.fastq	gbsFlowcell	ZeaSynDH-2243.fastq	gbs	192
ZeaSynDH-2160.fastq	gbsFlowcell	ZeaSynDH-2160.fastq	gbs	193
ZeaSynDH-3567.fastq	gbsFlowcell	ZeaSynDH-3567.fastq	gbs	194
ZeaSynDH-2732.fastq	gbsFlowcell	ZeaSynDH-2732.fastq	gbs	195
ZeaSynDH-3680.fastq	gbsFlowcell	ZeaSynDH-3680.fastq	gbs	196
ZeaSynDH-1204.fastq	gbsFlowcell	ZeaSynDH-1204.fastq	gbs	197
ZeaSynDH-1345.fastq	gbsFlowcell	ZeaSynDH-1345.fastq	gbs	198
ZeaSynDH-2061.fastq	gbsFlowcell	ZeaSynDH-2061.fastq	gbs	199
ZeaSynDH-3018.fastq	gbsFlowcell	ZeaSynDH-3018.fastq	gbs	200
ZeaSynDH-3485.fastq	gbsFlowcell	ZeaSynDH-3485.fastq	gbs	201
ZeaSynDH-2589.fastq	gbsFlowcell	ZeaSynDH-2589.fastq	gbs	202
ZeaSynDH-2487.fastq	gbsFlowcell	ZeaSynDH-2487.fastq	gbs	203
ZeaSynDH-2237.fastq	gbsFlowcell	ZeaSynDH-2237.fastq	gbs	204
ZeaSynDH-3777.fastq	gbsFlowcell	ZeaSynDH-3777.fastq	gbs	205
ZeaSynDH-2339.fastq	gbsFlowcell	ZeaSynDH-2339.fastq	gbs	206
ZeaSynDH-3604.fastq	gbsFlowcell	ZeaSynDH-3604.fastq	gbs	207
ZeaSynDH-2461.fastq	gbsFlowcell	ZeaSynDH-2461.fastq	gbs	208
ZeaSynDH-3377.fastq	gbsFlowcell	ZeaSynDH-3377.fastq	gbs	209
ZeaSynDH-2828.fastq	gbsFlowcell	ZeaSynDH-2828.fastq	gbs	210
ZeaSynDH-2880.fastq	gbsFlowcell	ZeaSynDH-2880.fastq	gbs	211
ZeaSynDH-2979.fastq	gbsFlowcell	ZeaSynDH-2979.fastq	gbs	212
ZeaSynDH-3757.fastq	gbsFlowcell	ZeaSynDH-3757.fastq	gbs	213
ZeaSynDH-2294.fastq	gbsFlowcell	ZeaSynDH-2294.fastq	gbs	214
ZeaSynDH-3495.fastq	gbsFlowcell	ZeaSynDH-3495.fastq	gbs	215
ZeaSynDH-3638.fastq	gbsFlowcell	ZeaSynDH-3638.fastq	gbs	216
ZeaSynDH-2067.fastq	gbsFlowcell	ZeaSynDH-2067.fastq	gbs	217
ZeaSynDH-2679.fastq	gbsFlowcell	ZeaSynDH-2679.fastq	gbs	218
ZeaSynDH-382.fastq	gbsFlowcell	ZeaSynDH-382.fastq	gbs	219
ZeaSynDH-3192.fastq	gbsFlowcell	ZeaSynDH-3192.fastq	gbs	220
ZeaSynDH-3601.fastq	gbsFlowcell	ZeaSynDH-3601.fastq	gbs	221
ZeaSynDH-2532.fastq	gbsFlowcell	ZeaSynDH-2532.fastq	gbs	222
ZeaSynDH-2696.fastq	gbsFlowcell	ZeaSynDH-2696.fastq	gbs	223
ZeaSynDH-2633.fastq	gbsFlowcell	ZeaSynDH-2633.fastq	gbs	224
ZeaSynDH-3503.fastq	gbsFlowcell	ZeaSynDH-3503.fastq	gbs	225
ZeaSynDH-3703.fastq	gbsFlowcell	ZeaSynDH-3703.fastq	gbs	226
ZeaSynDH-2850.fastq	gbsFlowcell	ZeaSynDH-2850.fastq	gbs	227
ZeaSynDH-3705.fastq	gbsFlowcell	ZeaSynDH-3705.fastq	gbs	228
ZeaSynDH-2825.fastq	gbsFlowcell	ZeaSynDH-2825.fastq	gbs	229
ZeaSynDH-2562.fastq	gbsFlowcell	ZeaSynDH-2562.fastq	gbs	230
ZeaSynDH-2300.fastq	gbsFlowcell	ZeaSynDH-2300.fastq	gbs	231
ZeaSynDH-3251.fastq	gbsFlowcell	ZeaSynDH-3251.fastq	gbs	232
ZeaSynDH-2838.fastq	gbsFlowcell	ZeaSynDH-2838.fastq	gbs	233
ZeaSynDH-2638.fastq	gbsFlowcell	ZeaSynDH-2638.fastq	gbs	234
ZeaSynDH-3613.fastq	gbsFlowcell	ZeaSynDH-3613.fastq	gbs	235
ZeaSynDH-2259.fastq	gbsFlowcell	ZeaSynDH-2259.fastq	gbs	236
ZeaSynDH-2436.fastq	gbsFlowcell	ZeaSynDH-2436.fastq	gbs	237
ZeaSynDH-2919.fastq	gbsFlowcell	ZeaSynDH-2919.fastq	gbs	238
